kingdom;phylum;klass;order;family;genus;species;subspecies;scientific_name;author
Animalia;Chordata;Mammalia;Carnivora;Phocidae;Mirounga;leonina;;Mirounga leonina;(Linnaeus, 1758)
Animalia;Chordata;Mammalia;Carnivora;Phocidae;Monachus;monachus;;Monachus monachus;(Hermann, 1779)
Animalia;Chordata;Mammalia;Carnivora;Phocidae;Monachus;schauinslandi;;Monachus schauinslandi;Matschie, 1905
Animalia;Chordata;Mammalia;Carnivora;Phocidae;Monachus;tropicalis;;Monachus tropicalis;(Gray, 1850)
Animalia;Chordata;Mammalia;Carnivora;Procyonidae;Bassaricyon;gabbii;;Bassaricyon gabbii;J. A. Allen, 1876
Animalia;Chordata;Mammalia;Carnivora;Procyonidae;Bassariscus;sumichrasti;;Bassariscus sumichrasti;(Saussure, 1860)
Animalia;Chordata;Mammalia;Carnivora;Procyonidae;Nasua;narica;;Nasua narica;(Linnaeus, 1766)
Animalia;Chordata;Mammalia;Carnivora;Procyonidae;Nasua;nasua;solitaria;Nasua nasua solitaria;Schinz, 1821
Animalia;Chordata;Mammalia;Carnivora;Procyonidae;Potos;flavus;;Potos flavus;(Schreber, 1774)
Animalia;Chordata;Mammalia;Carnivora;Ursidae;Ailuropoda;melanoleuca;;Ailuropoda melanoleuca;(David, 1869)
Animalia;Chordata;Mammalia;Carnivora;Ursidae;Helarctos;malayanus;;Helarctos malayanus;(Raffles, 1821)
Animalia;Chordata;Mammalia;Carnivora;Ursidae;Melursus;ursinus;;Melursus ursinus;(Shaw, 1791)
Animalia;Chordata;Mammalia;Carnivora;Ursidae;Tremarctos;ornatus;;Tremarctos ornatus;(F. G. Cuvier, 1825)
Animalia;Chordata;Mammalia;Carnivora;Ursidae;Ursus;americanus;;Ursus americanus;Pallas, 1780
Animalia;Chordata;Mammalia;Carnivora;Ursidae;Ursus;arctos;;Ursus arctos;Linnaeus, 1758
Animalia;Chordata;Mammalia;Carnivora;Ursidae;Ursus;arctos;;Ursus arctos;Linnaeus, 1758
Animalia;Chordata;Mammalia;Carnivora;Ursidae;Ursus;arctos;isabellinus;Ursus arctos isabellinus;Horsfield, 1826
